Date,Time,Female,Block,Treatment,Donor,Feed,Laid,Count,Dead,Day
6/8/2016,8:40 AM,181,2,16,3,0,0,,0,0
6/8/2016,8:40 AM,182,2,16,3,0,0,,0,0
6/8/2016,9:00 AM,183,2,16,3,1,0,,0,0
6/8/2016,9:00 AM,184,2,16,3,1,0,,0,0
6/8/2016,9:20 AM,185,2,16,3,1,0,,0,0
6/8/2016,9:20 AM,186,2,16,3,0,0,,0,0
6/8/2016,9:35:00 AM,187,2,16,3,1,0,,0,0
6/8/2016,9:35:00 AM,188,2,16,3,1,0,,0,0
6/8/2016,9:50:00 AM,189,2,16,3,1,0,,0,0
6/8/2016,9:50:00 AM,190,2,16,3,1,0,,0,0
6/8/2016,10:27 AM,191,2,16,3,1,0,,0,0
6/8/2016,10:27 AM,192,2,16,3,1,0,,0,0
6/8/2016,10:45:00 AM,193,2,16,3,1,0,,0,0
6/8/2016,10:45:00 AM,194,2,16,3,1,0,,0,0
6/8/2016,11:00 AM,195,2,16,3,1,0,,0,0
6/8/2016,11:00 AM,196,2,16,3,1,0,,0,0
6/8/2016,11:25:00 AM,197,2,16,3,0,0,,0,0
6/8/2016,11:25:00 AM,198,2,16,3,0,0,,0,0
6/8/2016,11:40 AM,199,2,16,3,1,0,,0,0
6/8/2016,11:40 AM,200,2,16,3,1,0,,0,0
6/8/2016,12:15:00 PM,201,2,16,3,1,0,,0,0
6/8/2016,12:15:00 PM,202,2,16,3,1,0,,0,0
6/8/2016,12:35:00 PM,203,2,16,3,0,0,,0,0
6/8/2016,12:35:00 PM,204,2,16,3,1,0,,0,0
6/8/2016,12:50 PM,205,2,16,3,0,0,,0,0
6/8/2016,12:50 PM,206,2,16,3,1,0,,0,0
6/8/2016,1:10:00 PM,207,2,16,3,1,0,,0,0
6/8/2016,1:10:00 PM,208,2,16,3,0,0,,0,0
6/8/2016,1:25 PM,209,2,16,3,1,0,,0,0
6/8/2016,1:25 PM,210,2,16,3,1,0,,0,0
6/8/2016,8:40 AM,211,2,20,3,1,0,,0,0
6/8/2016,8:40 AM,212,2,20,3,1,0,,0,0
6/8/2016,9:00 AM,213,2,20,3,1,0,,0,0
6/8/2016,9:00 AM,214,2,20,3,1,0,,0,0
6/8/2016,9:20 AM,215,2,20,3,1,0,,0,0
6/8/2016,9:20 AM,216,2,20,3,1,0,,0,0
6/8/2016,9:35:00 AM,217,2,20,3,1,0,,0,0
6/8/2016,9:35:00 AM,218,2,20,3,1,0,,0,0
6/8/2016,10:07:00 AM,219,2,20,3,0,0,,0,0
6/8/2016,10:07:00 AM,220,2,20,3,0,0,,0,0
6/8/2016,10:27 AM,221,2,20,3,1,0,,0,0
6/8/2016,10:27 AM,222,2,20,3,1,0,,0,0
6/8/2016,10:45:00 AM,223,2,20,3,0,0,,0,0
6/8/2016,10:45:00 AM,224,2,20,3,0,0,,0,0
6/8/2016,11:00 AM,225,2,20,3,0,0,,0,0
6/8/2016,11:00 AM,226,2,20,3,0,0,,0,0
6/8/2016,11:25:00 AM,227,2,20,3,1,0,,0,0
6/8/2016,11:25:00 AM,228,2,20,3,0,0,,0,0
6/8/2016,11:55:00 AM,229,2,20,3,1,0,,0,0
6/8/2016,11:55:00 AM,230,2,20,3,1,0,,0,0
6/8/2016,12:15:00 PM,231,2,20,3,1,0,,0,0
6/8/2016,12:15:00 PM,232,2,20,3,1,0,,0,0
6/8/2016,12:35:00 PM,233,2,20,3,0,0,,0,0
6/8/2016,12:35:00 PM,234,2,20,3,1,0,,0,0
6/8/2016,12:50 PM,235,2,20,3,1,0,,0,0
6/8/2016,12:50 PM,236,2,20,3,0,0,,0,0
6/8/2016,1:10:00 PM,237,2,20,3,1,0,,0,0
6/8/2016,1:10:00 PM,238,2,20,3,0,0,,0,0
6/8/2016,1:40:00 PM,239,2,20,3,1,0,,0,0
6/8/2016,1:40:00 PM,240,2,20,3,1,0,,0,0
6/8/2016,8:40 AM,241,2,24,3,0,0,,0,0
6/8/2016,8:40 AM,242,2,24,3,1,0,,0,0
6/8/2016,9:00 AM,243,2,24,3,0,0,,0,0
6/8/2016,9:00 AM,244,2,24,3,1,0,,0,0
6/8/2016,9:20 AM,245,2,24,3,1,0,,0,0
6/8/2016,9:20 AM,246,2,24,3,1,0,,0,0
6/8/2016,9:50:00 AM,247,2,24,3,1,0,,0,0
6/8/2016,9:50:00 AM,248,2,24,3,1,0,,0,0
6/8/2016,10:07:00 AM,249,2,24,3,1,0,,0,0
6/8/2016,10:07:00 AM,250,2,24,3,0,0,,0,0
6/8/2016,10:27 AM,251,2,24,3,1,0,,0,0
6/8/2016,10:27 AM,252,2,24,3,0,0,,0,0
6/8/2016,10:45:00 AM,253,2,24,3,0,0,,0,0
6/8/2016,10:45:00 AM,254,2,24,3,1,0,,0,0
6/8/2016,11:00 AM,255,2,24,3,1,0,,0,0
6/8/2016,11:00 AM,256,2,24,3,0,0,,0,0
6/8/2016,11:40 AM,257,2,24,3,0,0,,0,0
6/8/2016,11:40 AM,258,2,24,3,1,0,,0,0
6/8/2016,11:55:00 AM,259,2,24,3,1,0,,0,0
6/8/2016,11:55:00 AM,260,2,24,3,1,0,,0,0
6/8/2016,12:15:00 PM,261,2,24,3,1,0,,0,0
6/8/2016,12:15:00 PM,262,2,24,3,1,0,,0,0
6/8/2016,12:35:00 PM,263,2,24,3,1,0,,0,0
6/8/2016,12:35:00 PM,264,2,24,3,1,0,,0,0
6/8/2016,12:50 PM,265,2,24,3,1,0,,0,0
6/8/2016,12:50 PM,266,2,24,3,1,0,,0,0
6/8/2016,1:25 PM,267,2,24,3,0,0,,0,0
6/8/2016,1:25 PM,268,2,24,3,0,0,,0,0
6/8/2016,1:40:00 PM,269,2,24,3,1,0,,0,0
6/8/2016,1:40:00 PM,270,2,24,3,0,0,,0,0
6/8/2016,8:40 AM,271,2,28,3,0,0,,0,0
6/8/2016,8:40 AM,272,2,28,3,1,0,,0,0
6/8/2016,9:00 AM,273,2,28,3,1,0,,0,0
6/8/2016,9:00 AM,274,2,28,3,1,0,,0,0
6/8/2016,9:35:00 AM,275,2,28,3,0,0,,0,0
6/8/2016,9:35:00 AM,276,2,28,3,1,0,,0,0
6/8/2016,9:50:00 AM,277,2,28,3,1,0,,0,0
6/8/2016,9:50:00 AM,278,2,28,3,1,0,,0,0
6/8/2016,10:07:00 AM,279,2,28,3,1,0,,0,0
6/8/2016,10:07:00 AM,280,2,28,3,1,0,,0,0
6/8/2016,10:27 AM,281,2,28,3,1,0,,0,0
6/8/2016,10:27 AM,282,2,28,3,1,0,,0,0
6/8/2016,10:45:00 AM,283,2,28,3,1,0,,0,0
6/8/2016,10:45:00 AM,284,2,28,3,0,0,,0,0
6/8/2016,11:25:00 AM,285,2,28,3,1,0,,0,0
6/8/2016,11:25:00 AM,286,2,28,3,1,0,,0,0
6/8/2016,11:40 AM,287,2,28,3,1,0,,0,0
