Date,Time,Female,Block,Treatment,Donor,Feed,Laid,Count,Dead,Day
6/14/2017,9:20 AM,1,1,16,1,0,0,,0,0
6/15/2017,10:15 AM,1,1,16,1,1,0,,0,1
6/16/2017,10:15 AM,1,1,16,1,0,0,,0,2
6/17/2017,9:15 AM,1,1,16,1,0,0,,0,3
6/18/2017,9:15 AM,1,1,16,1,0,0,,0,4
6/19/2017,10:00 AM,1,1,16,1,0,0,,0,5
6/20/2017,9:15 AM,1,1,16,1,0,0,,0,6
6/21/2017,10:05 AM,1,1,16,1,0,0,,0,7
6/22/2017,10:20 AM,1,1,16,1,0,0,,0,8
6/23/2017,10:15 AM,1,1,16,1,1,0,,0,9
6/24/2017,10:50 AM,1,1,16,1,0,0,,0,10
6/25/2017,8:10 AM,1,1,16,1,0,0,,0,11
6/26/2017,9:30 AM,1,1,16,1,0,0,,0,12
6/27/2017,9:50 AM,1,1,16,1,0,0,,0,13
6/28/2017,10:10 AM,1,1,16,1,0,0,,0,14
6/29/2017,10:15 AM,1,1,16,1,1,0,,0,15
6/30/2017,10:30 AM,1,1,16,1,1,0,,0,16
7/1/2017,10:20 AM,1,1,16,2,0,0,,0,17
7/2/2017,7:25 AM,1,1,16,2,0,0,,0,18
7/3/2017,9:25 AM,1,1,16,2,0,0,,0,19
7/4/2017,9:45 AM,1,1,16,2,0,0,,0,20
7/5/2017,10:00 AM,1,1,16,2,0,0,,0,21
7/6/2017,8:45 AM,1,1,16,2,1,1,121,0,22
7/7/2017,9:35 AM,1,1,16,2,0,0,,0,23
7/8/2017,8:00 AM,1,1,16,2,0,0,,0,24
7/9/2017,9:50 AM,1,1,16,2,0,0,,0,25
7/10/2017,8:50 AM,1,1,16,2,0,0,,0,26
7/11/2017,9:50 AM,1,1,16,2,,0,,1,27
6/14/2017,9:20 AM,2,1,16,1,1,0,,0,0
6/15/2017,10:15 AM,2,1,16,1,0,0,,0,1
6/16/2017,10:15 AM,2,1,16,1,1,0,,0,2
6/17/2017,9:15 AM,2,1,16,1,0,0,,0,3
6/18/2017,8:15 AM,2,1,16,1,0,0,,0,4
