Female,Treatment,lifespan,bite.rate,lifetime.eggs
1,16,44,0.159090909,173
2,16,10,0.1,0
3,16,43,0.162790698,263
4,16,61,0.213114754,509
5,16,36,0.166666667,124
6,16,55,0.145454545,164
7,16,64,0.1875,149
8,16,39,0.256410256,219
9,16,20,0.15,18
10,16,63,0.174603175,479
11,16,35,0.2,293
12,16,76,0.184210526,329
13,16,57,0.175438596,140
14,16,17,0.235294118,44
15,16,72,0.194444444,0
16,16,14,0.071428571,17
17,16,68,0.176470588,222
18,16,57,0.140350877,350
19,16,34,0.205882353,137
20,16,84,0.214285714,199
21,16,49,0.142857143,168
22,16,97,0.216494845,133
23,16,20,0.05,0
24,16,68,0.220588235,177
25,16,61,0.245901639,0
26,16,100,0.23,457
27,16,21,0.142857143,23
28,16,50,0.18,485
29,16,80,0.2125,252
30,16,56,0.125,223
31,20,54,0.240740741,644
32,20,56,0.285714286,870
33,20,5,0.2,71
34,20,28,0.214285714,192
35,20,94,0.265957447,730
36,20,57,0.263157895,38
37,20,57,0.070175439,133
38,20,76,0.236842105,501
39,20,22,0.363636364,176
40,20,58,0.224137931,502
41,20,21,0.285714286,296
42,20,98,0.265306122,762
43,20,77,0.181818182,150
44,20,45,0.2,423
45,20,51,0.392156863,688
46,20,10,0.2,0
47,20,98,0.275510204,806
48,20,18,0.277777778,155
49,20,62,0.338709677,416
50,20,63,0.158730159,547
51,20,36,0.194444444,370
52,20,50,0.2,482
53,20,52,0.230769231,66
54,20,51,0.274509804,186
55,20,52,0.326923077,641
56,20,98,0.265306122,0
57,20,45,0.177777778,0
58,20,7,0.142857143,0
59,20,62,0.290322581,841
60,20,52,0.288461538,744
61,24,49,0.428571429,915
62,24,43,0.279069767,481
63,24,39,0.307692308,530
64,24,51,0.333333333,1092
65,24,21,0.285714286,355
66,24,80,0.3875,897
67,24,44,0.454545455,879
68,24,5,0.2,0
69,24,41,0.292682927,647
70,24,12,0.083333333,0
71,24,24,0.25,403
72,24,38,0.210526316,0
73,24,3,0.333333333,0
74,24,27,0.37037037,371
75,24,45,0.333333333,826
76,24,51,0.450980392,487
77,24,50,0.34,775
78,24,27,0.333333333,0
79,24,61,0.344262295,1301
80,24,40,0.4,602
81,24,25,0.28,410
82,24,77,0.350649351,1340
83,24,53,0.358490566,1141
84,24,13,0.230769231,103
85,24,49,0.285714286,0
86,24,9,0.222222222,0
87,24,56,0.410714286,1042
88,24,44,0.272727273,0
89,24,26,0.230769231,465
90,24,9,0.111111111,0
91,28,42,0.333333333,848
92,28,14,0.357142857,0
93,28,24,0.291666667,441
94,28,27,0.407407407,140
95,28,25,0.28,37
96,28,35,0.285714286,565
97,28,2,0.5,0
98,28,19,0.263157895,112
99,28,27,0.37037037,0
100,28,20,0.3,188
101,28,45,0.155555556,408
